pt,cross
0.0, 0.0000168
0.3, 0.0000162
0.6, 0.0000162
0.9, 0.0000156
1.2, 0.0000145
1.5, 0.0000140
1.8, 0.0000125
2.1, 0.0000108
2.4, 0.00000928
2.7, 0.00000715
3.0, 0.00000551
3.3, 0.00000394
3.6, 0.00000271
3.9, 0.00000180
4.2, 0.00000107
4.5, 6.10e-7
4.8, 3.62e-7
5.1, 1.99e-7
5.4, 1.14e-7
5.7, 6.76e-8
6, 4.01e-8
6.5, 1.64e-8
7.0, 7.49e-9
7.5, 3.55e-9
8.0, 1.74e-9
