pt,cross
0.0, 3.21E-04
0.3, 3.19E-04
0.6, 3.13E-04
0.9, 3.02E-04
1.2, 2.84E-04
1.5, 2.58E-04
1.8, 2.28E-04
2.1, 1.91E-04
2.4, 1.54E-04
2.7, 1.17E-04
3.0, 8.46E-05
3.3, 5.73E-05
3.6, 3.66E-05
3.9, 2.21E-05
4.2, 1.27E-05
4.5, 7.13E-06
4.8, 3.97E-06
5.1, 2.25E-06
5.4, 1.31E-06
5.7, 7.83E-07
6.0, 4.84E-07
6.5, 2.31E-07
7.0, 1.17E-07
7.5, 6.15E-08
8.0, 3.32E-08
