pt,cross
0.0, 1.90E-07
0.3, 1.89E-07
0.6, 1.87E-07
0.9, 1.83E-07
1.2, 1.76E-07
1.5, 1.67E-07
1.8, 1.55E-07
2.1, 1.40E-07
2.4, 1.24E-07
2.7, 1.06E-07
3.0, 8.74E-08
3.3, 6.97E-08
3.6, 5.33E-08
3.9, 3.91E-08
4.2, 2.75E-08
4.5, 1.84E-08
4.8, 1.18E-08
5.1, 7.30E-09
5.4, 4.34E-09
5.7, 2.51E-09
6.0, 1.43E-09
6.5, 5.61E-10
7.0, 2.27E-10
7.5, 9.76E-11
8.0, 4.49E-11
