pt,cross
0.0, 3.17E-01
0.3, 3.27E-01
0.6, 3.21E-01
0.9, 2.99E-01
1.2, 2.61E-01
1.5, 2.11E-01
1.8, 1.56E-01
2.1, 1.07E-01
2.4, 6.75E-02
2.7, 3.92E-02
3.0, 2.16E-02
3.3, 1.17E-02
3.6, 6.61E-03
3.9, 3.91E-03
4.2, 2.41E-03
4.5, 1.51E-03
4.8, 9.59E-04
5.1, 6.14E-04
5.4, 3.96E-04
5.7, 2.59E-04
6.0, 1.72E-04
6.5, 8.97E-05
7.0, 4.95E-05
7.5, 2.88E-05
8.0, 1.77E-05
